Task category / Task,Value,% of total,Comment
Remaining,0.149999999999977,0.0149999999999977%,
,,,
Instructions,,,
"The goal of this stage of the funding allocation procedure is to estimate ""value"" of individual tasks.
Value shall measure how useful each task would be to our users, to developers, to health of the project, etc.
Every participant gets 1000 units of value to allocate between the tasks, starting from an equal distribution of units.
So the only thing you should edit is to allocate those 1000 units in the ""Value"" column of each task. Everything else will be computed automatically.
LibreOffice / OpenOffice can highlight the cells you should fill in: Go to ""View"" and select ""Value highlighting"" (CTRL+F8).

The tasks are grouped into different areas such as ""Speed"" and ""User experience"" to ensure we think about all areas.
Some tasks might be helpful to not only one but multiple areas. Nevertheless, they are only enlisted in one area.
Thus you do not need to feel obliged to cast votes in every area, you might as well instead vote for the tasks which cover more than just the area they are enlisted at. When deciding about the value of a task, you might want to consider how many areas you think it covers.

A few important things here to ensure we get the true benefit of ""wisdom of the crowd"":
- Don't be strategic (e.g. don't over-allocate to one area because you assume others might under-allocate to it).
- Don't collude.
- Don't consider development cost in your value allocation, this will be done in the next stage.
- If you aren't sure, leave stuff at an even allocation, don't assign 0 value.

Once everyone has allocated, we will take the average for each task to be our group estimate for that task.",,,
,,,
Speed - Improve performance of Freenet or Freenet applications,,,
Web of Trust: Finish first iteration of most critical speed fixes (1 bugtracker entry). Was subject of previous 2 years of paid work. Ensures this work is not left unfinished. Needed for Sone / Freetalk / filesharing / … (see all other sections except Technical Debt),200,20.0030004500675%,"Freenet's main default feature is 1990s style Freesites. That's not enough nowadays. Our uservoice poll shows that users want dynamic apps (e.g. filesharing, social networking, blogging, forums, mail). WoT is the required foundation for all of those. Its speed is not yet good enough to enable it by default. We need to fix that before we can have more apps."
Freetalk: Make Freetalk usable again by using the new WoT event-notifications API to fix its most severe performance issues. The API had been implemented as previous paid work to specifically allow repairing Freetalk. Thus we'd reap what we sowed there.,100,10.0015002250338%,"Our #1 request on uservoice is filesharing, and Freetalk will be the best foundation for it (see “Filesharing” at “New core features” section for an explanation). So I'm voting for finishing Freetalk soon."
"WoT: Second iteration of less critical performance fixes: Reduce transaction size from O(512) to O(1): Split up ""import trustlist"" transaction into 1 transaction for each trust.",100,10.0015002250338%,Same as above – we need to be able to add features beyond 1990s style websites to Freenet.
"WoT: Second iteration of less critical performance fixes: Identity garbage collection: Stats show that less than 1000 of the 14000 WoT identities are still active (thanks to ArneBab). Thus, we need to GC abandoned identities.",100,10.0015002250338%,Same as above – we need to be able to add features beyond 1990s style websites to Freenet.
WoT: Second iteration of less critical performance fixes: Process results of peer review of xor’s  Web of Trust bachelor’s thesis (which was about last year’s performance improvements).,100,10.0015002250338%,Same as above – we need to be able to add features beyond 1990s style websites to Freenet.
"Fred: does it provide sufficient benefits to re-add native acceleration for FEC, or crypto? Especially JVMs without gmp acceleration - Oracle on Windows.",0,0%,The project has way too much maintenance overhead for its number of contributors. So we should use standard libraries instead of custom ones wherever possible. Thus I support actually removing more custom stuff instead of adding more. This especially applies to high maintenance things such as native code which needs to be compiled for each platform.
,,,
User Experience - make things easier and more enjoyable to use,,,
"Single use node references with authentication token: Currently, two users need to add the node reference of each other to create a connection. With this, only one of the two would have to add the other. Might benefit from FOAF (see 3 tasks below) for connectivity if Opennet is off.",5,0.500075011251688%,"IMHO the big problem currently is not adding single peers, it is just discovering plenty of peers since Freenet users are very scarce. So while I do think this is important, I'll vote for doing FOAF first."
Darknet invitation bundles: Feature for adding a single use node reference to an installer executable. People could hand out the installer executable to their friends to allow them to connect by Darknet instantly.,0,0%,In my experience most people nowadays are not used to obtaining binaries from their friends anymore. They usually download them from the official websites instead. So I don't think this is worth the hassle it would be to figure out how to keep the EXE signatures valid for example.
"Short node references: Currently, references fill almost half a sheet of paper. Improve this by uploading node references to Freenet itself as a random KSK, with for example 128 bit entropy to be ~ 25 letters. (Requires having peers already, but without the UI could just show the long one)",5,0.500075011251688%,"IMHO the big problem currently is not adding single peers, it is just discovering plenty of peers since Freenet users are very scarce. So while I do think this is important, I'll vote for doing FOAF first."
"Friend-of-a-friend connection suggestions (""FOAF""): Like the Facebook friend finder, Freenet could be improved to tell you about Darknet peers of your peers. You could then chose to add them as your peers. Part of the code exists.",15,1.50022503375506%,
"Friend requests, like in Facebook: With primitive FOAF, both peers would still have to add each other. With friend requests, peers of your peers could just request to connect to you. Could use similar UI to Facebook friend requests.",15,1.50022503375506%,
Something like Icicle to ease setting up Darknet connections - perhaps add support for connecting nodes over text message or Signal?,0,0%,I'm against doing any Android work before we have a killer feature such as filesharing. Otherwise we'd just get bad ratings in the Play Store and be stuck with them.
"Darknet chat improvements: Freenet allows sending messages to Darknet peers. The UI for that is very primitive. It could be improved, for example to be similar to Facebook chat. Needs fixes for high message loss probability. ",5,0.500075011251688%,"We first need the above improvements to make adding peers more easy. Also, I would doubt the main usecase of Freenet being to communicate with friends. I think the tools for communicating with strangers are more important (Freetalk, Sone, etc.)"
Maybe FLIRCP can add darknet N2NTMs as a backend?,0,0%,I don't think many average computer users will be interested in using an IRC client as frontend for N2NTMs. They're probably much more interested in the above suggestion of having N2NTMs look like the Facebook chat.
FlogHelper (WoT-based blogging app): Accumulate flogs of other users. List them nicely. Add a search function. Use that to replace or amend the current concept of FProxy's default bookmarks as entry point for Freenet. Hundreds of blogs instead of ~10 bookmarks.,5,0.500075011251688%,"I would definitely like to do that someday, but I think we need Freetalk / Sone first."
"Better feedback on progress: currently in FProxy progress is displayed in terms of completed blocks. Information on how many fetch / insert requests are running for each one, and the progress on them, could help make the default mode of operation seem like hanging.",0,0%,"Fproxy is too complex to understand already. It needs to get less complex, not more."
Make robust search functionality part of the default installation [task is possibly not specific enough: Complexity depends a lot on search target: Freesites? FlogHelper flogs? Freetalk messages? WoT identities? Sones? Filesharing?],0,0%,"I think generic Freesite search is not technically possible due to Freesites not having any anti-spam mechanism such as WoT. So I'd prefer doing search in each WoT-based application individually. All of those apps need their basic features to be finished first though, so I'll instead vote at “New core features”  for finishing the apps which I think are most useful."
Add ability to comment on Freesites (fulfilled by babcom (is opt-in) / Freetalk / Sone?),0,0%,"None of the apps which could be the foundation for this are ready yet, so this is not interesting yet. I'll instead vote for finishing those at “New core features”. Also WoT needs to be finished as well first, so I'll also vote for WoT at “Speed”."
"Frost-alike communication system supporting easy usability, encrypted and read-only boards and hidden instant messaging between 2 or more ID's, integrated file transfer agent, mixed bulletproof ID'd and unsigned messaging. [= e.g. Freetalk. Likely requires the WoT speed tasks.]",0,0%,"I think this task is a bogus entry which was added by someone who didn't know that Freetalk aims to provide this and has a large codebase already (WoT-based, web interface, NNTP). So I'll vote for finishing Freetalk specifically at “Speed” and “New core features”. Filesharing can also be done with Freetalk, so I'm voting for that at “New core features” as well."
Improve the vulnerability and functionality of Flip [One anonymous user commented that you may as well re-invent FLIP],0,0%,"Doing IRC over Freenet is very complex due to the problem that we want global visibility of a channel's content but also being spam-proof and having good latency.  FLIP likely ignores these problems, IIRC it just uses a KSK-queue. I think high latency chat like forums is much easier to achieve and has more existing code, so I'll vote for finishing Freetalk at “New core features”."
Improve FProxy CSS3 support to allow better Freesite UI,0,0%,"We've spent over 10 years of paid development on boring core fred features such as static Freesites, that's enough for now. I'd rather get dynamic apps finished such as Sone, Freetalk, Filesharing, etc. So I'll instead vote for those at “Speed” and “New core features”."
Document the content filter,0,0%,"Too unspecific task suggestion. It supports many file formats, which one would we document? Also, this doesn't provide any immediate benefit to the user: The only thing important for the user to know about content filtering is that it removes private data such as JPEG geotags. There's not enough doc needed for that to justify having this as a poll entry."
Improve Shoeshop/blob handling [how?],0,0%,"Too unspecific task suggestion. And sneakernet is a very rare usecase, it doesn't benefit enough users IMHO."
p2p file exchange by time-set expiring keys [Imprecise task? Also violates main goal of Freenet of preventing censorship!?],0,0%,I think the most easy way to get filesharing is by using Freetalk as a backend. We don't need any new key types for that. So I'll vote for Freetalk / Filesharing at “Speed” and “New core features” instead.
"Freenet key links directed to a dedicated Freenet browser, opennet [= non-Freenet Internet?] links to the system default like in the AutoHotKey script ""Freenet Browser Director”",0,0%,Too much hassle to get this right on every platform / browser combination for the few Freenet links which people will likely encounter on the regular Internet. We can do such high maintenance cost fancy stuff once we have much more developers available. Right now it would only push our maintenance load which is too high anyway.
"Warn users not to use Chrome, but instead an open source/free software browser",0,0%,Less than a day of work so not eligible for discussing this in this poll IMHO.
"FLIP or FLIRCP could use work to become official plugins, maybe with a webclient instead of having to install a potentially privacy leaking 3rd party one. [Likely requires the WoT performance work in the “Speed” section.]",0,0%,"Doing IRC over Freenet is very complex due to the problem that we want global visibility of a channel's content but also being spam-proof and having good latency.  FLIP likely ignores these problems, IIRC it just uses a KSK-queue. I think high latency chat like forums is much easier to achieve, so I'll vote for finishing Freetalk at “Speed” and “New core features”."
,,0%,
Security - Make Freenet more secure against attacks,,0%,
"Fix plugin data leak: None of our official plugins deletes its database when the user uninstalls it. They also do not obey the ""PANIC"" button of Freenet which should delete all client data.",5,0.500075011251688%,"Not very important yet: If an attacker gets a copy of your hard disk, you're likely screwed anyway thanks to standard file systems not zeroing file contents after deletion."
"Fix lack of plugin data encryption: WoT, Freetalk, and potentially other plugins do not encrypt their databases when the user has configured Freenet to encrypt user data. Should be changed to obtain an encryption key from Freenet to encrypt their stuff.",10,1.00015002250338%,
Add simple tunnels. The easiest approach here may be to have some automatically added temporary time limited or data throughput limited FOAF connections that form simple tunnels. Tunnels should have a probability to use for high HTL inserts and requests based on security settings for the node.,0,0%,"I've instead voted for the the Darknet enhancements in the “User Experience” section as they are major giant security improvement as well but much less work: Opennet is generally believed to be impossible to make even only basically secure. Thus we should encourage Darknet use. Those tasks are mostly UI, not changes to the core, so they'll be a lot easier for someone else than Matthew (he is not for hire currently).
Further The WoT work in the ""Speed"" section is also critical for security: Many people use FMS as the WoT-based Java forums are not usable while WoT is slow. FMS is a not fully reviewed C++ app developed anonymously - a big security risk. And Frost allows censorship by DoS."
,,,
Technical debt - Stuff that will make future development faster,,,
fred: Documentation is said to be poor. Improve it. Would help people other than Matthew to understand the code. Good to do this now while Matthew is still available as a volunteer and we can thus maybe ask him questions.,0,0%,See 3 lines below
fred unit test coverage is 20%. Improve it. Would help people other than Matthew to understand the code. Good to do this now while Matthew is still available as a volunteer and we can thus maybe ask him questions.,0,0%,See 2 lines below
"WoT unit test coverage is 45%. Given the lower total line count, it would be possible to complete it to 100%. That would be a preparation of the major “refactoring” of replacing db4o with a different database. May become necessary: db4o’s vendor has abandoned it.",0,0%,See line below
