Task category / Task,Estimated time,Comment
,in 1-man-weeks,
,,
Instructions,,
"The goal of this stage is to estimate how much time the development of individual tasks would cost us.
We will measure in how many weeks a single developer would have to spend.

The goal is NOT to vote how much time you think we should limit spending on a task to!
This stage is only about total developer time cost estimation as if we had infinite money.

The cells for the week estimate should provide you with a dropdown, please only use the values there.
For tasks which you estimate to be below or above the min/max choices in the dropdown, just choose the min/max ones.
You do not need to provide an estimate for tasks whose codebase you don't feel familiar enough with.

Non-developers were allowed to add tasks to the list so some tasks may be vague, unclear, or under-specified (""I want a pony!""). To be fair we cannot just remove them - but you may consider increasing your cost estimate accordingly to account for this uncertainty.

For tasks which depend on other tasks, do not add the cost of the dependency if the dependency has a separate entry in the spreadsheet as well. Estimate the cost of the dependency separately then.",,
,,
Speed - Improve performance of Freenet or Freenet applications,,
Web of Trust: Finish first iteration of most critical speed fixes (1 bugtracker entry). Was subject of previous 2 years of paid work. Ensures this work is not left unfinished. Needed for Sone / Freetalk / filesharing / … (see all other sections except Technical Debt),8,Been volunteering on this for a month (not full time). Depending on whether the planning period extends my volunteering this may progress further.
Freetalk: Make Freetalk usable again by using the new WoT event-notifications API to fix its most severe performance issues. The API had been implemented as previous paid work to specifically allow repairing Freetalk. Thus we'd reap what we sowed there.,16,Depends on making Freetalk itself event-driven instead of polling-based which is a bit of work. Adding 4 weeks of headroom to account for the fact that the codebase may have rusted due to not being in use for a long time.
"WoT: Second iteration of less critical performance fixes: Reduce transaction size from O(512) to O(1): Split up ""import trustlist"" transaction into 1 transaction for each trust.",12,Depends on amending event-notifications to support operating by callbacks instead of by FCP - which is likely a month of work.
"WoT: Second iteration of less critical performance fixes: Identity garbage collection: Stats show that less than 1000 of the 14000 WoT identities are still active (thanks to ArneBab). Thus, we need to GC abandoned identities.",12,Depends on both aggressive and not-too-aggressive Trust-value decay algorithm which could take some time to invent. Also depends on code to gather statistics for estimating age of Trusts (we're no blockchain so this is difficult).
WoT: Second iteration of less critical performance fixes: Process results of peer review of xor’s  Web of Trust bachelor’s thesis (which was about last year’s performance improvements).,8,Depends on very through testing  and benchmarking of the resulting algorithmic changes.
"Fred: does it provide sufficient benefits to re-add native acceleration for FEC, or crypto? Especially JVMs without gmp acceleration - Oracle on Windows.",,IMHO bogus task: We're too small of a project to have the resources for doing micro-optimizations such as replacing parts of standard Java or even JRE code with more custom one
,,
User Experience - make things easier and more enjoyable to use,,
"Single use node references with authentication token: Currently, two users need to add the node reference of each other to create a connection. With this, only one of the two would have to add the other. Might benefit from FOAF (see 3 tasks below) for connectivity if Opennet is off.",4,Might be more difficult than anticipated: Needs low level changes of network code to accept packets from peers we don't know yet.
Darknet invitation bundles: Feature for adding a single use node reference to an installer executable. People could hand out the installer executable to their friends to allow them to connect by Darknet instantly.,2,0.5 weeks for each of our 3 installers + 0.5 week headroom: Depends on figuring out a way to put this into binaries signed with Windows' (and Mac's?) own signing mechanism without damaging the signature.
"Short node references: Currently, references fill almost half a sheet of paper. Improve this by uploading node references to Freenet itself as a random KSK, with for example 128 bit entropy to be ~ 25 letters. (Requires having peers already, but without the UI could just show the long one)",1,
